"hexid","NumMatches","Elev","Range"
"FR81",1,1254.48486328125,0
"FR83",1,1226.07861328125,0
"FR75",1,1132.40979003906,0
"FR79",1,1328.21655273438,0
"FR84",1,1288.76245117188,0
"FR5",1,1643.173828125,0
"FR54",4,451.5380859375,0
"FR36",3,574.974609375,0
"FR77",3,618.73583984375,0
"FR78",1,1487.22802734375,0
"FR32",1,1574.55749511719,0
"FR31",4,350.517242431641,0
"FR67",1,1331.46374511719,0
"FR80",1,1405.4794921875,0
"FR37",3,687.325744628906,0
"FR3",1,508.887939453125,0
"FR4",1,1134.6845703125,0
"FR49",1,1268.60693359375,0
"FR53",3,816.7783203125,0
"FR63",3,691.32373046875,0
"FR68",1,524.60888671875,0
"FR71",4,554.058013916016,3.0257568359375
"FR25",1,1497.38061523438,0
"FR15",1,584.84521484375,0
"FR47",1,1563.529296875,0
"FR27",4,522.302932739258,1.79827880859375
"FR43",1,1520.34777832031,0
"FR17",1,2184.81640625,0
"FR18",3,593.813354492188,0
"FR55",1,1676.66955566406,0
"FR33",1,499.727172851562,0
"FR19",1,1370.64965820312,0
"FR34",3,134.635314941406,0
"FR64",1,795.076171875,0
"FR69",4,273.308044433594,0
"FR57",1,956.707336425781,0
"FR74",1,1562.98864746094,0
"FR40",1,1070.70556640625,0
"FR41",1,379.228729248047,0
"FR42",3,210.866073608398,0
"FR28",4,250.341747283936,0.339553833007812
"FR58",1,1275.5126953125,0
"FR21",1,1048.54736328125,0
"FR72",1,222.317153930664,0
"FR30",3,63.4135704040527,0
"FR44",1,1364.96887207031,0
"FR16",4,946.850769042969,0
"FR56",1,451.396148681641,0
"FR46",1,347.282440185547,0
"FR50",1,653.396667480469,0
"FR51",1,386.466827392578,0
"FR52",1,2600.71606445312,0
"FR59",1,2784.02465820312,0
"FR60",5,340.367279052734,0
"FR20",1,2242.173828125,0
"FR61",1,2566.68627929688,0
"FR62",1,1953.48962402344,0
"FR35",1,2596.14135742188,0
"FR65",5,167.568893432617,0
"FR66",1,2679.12084960938,0
"FR29",1,1194.67541503906,0
"FR70",1,2189.45532226562,0
"FR2",1,2608.125,0
"FR14",5,579.560607910156,0
"FR1",1,2213.53491210938,0
"FR39",1,2577.52392578125,0
"FR45",1,2339.23388671875,0
"FR48",1,2696.9931640625,0
"FR24",1,2138.45751953125,0
"FR85",1,2401.20483398438,0
"FR73",1,2588.97265625,0
"FR22",1,2382.23022460938,0
"FR88",1,1600.27880859375,0
"FR76",5,220.929733276367,0
"FR10",5,400.523742675781,0
"FR38",1,559.56298828125,0
"FR90",1,1840.0302734375,0
"FR6",1,2486.81176757812,0
"FR87",1,2309.876953125,0
"FR26",1,1521.72192382812,0
"FR8",1,2014.48217773438,0
"FR82",1,545.96923828125,0
"FR9",1,2162.98779296875,0
"FR89",5,226.310592651367,0
"FR23",1,2148.93627929688,0
"FR86",2,1527.60510253906,0
"FR11",2,1914.0205078125,0
"FR7",5,487.852655029297,0.000274658203125
"FR12",5,229.362496948242,0.000335693359375
"FR13",5,205.919543457031,0.0004730224609375
"FR91",4,500.914581298828,0.1971435546875
"FR92",1,1436.67053222656,0
